YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2011 01 07 19 50  51  5.8  7.4  0.83  4.76  4.11 999 9999.0   0.9   6.3 999.0 99.0 99.00
2011 01 07 20 50  53  5.6  6.8  0.87  4.76  3.93 999 9999.0   0.3   6.3 999.0 99.0 99.00
2011 01 07 21 50  50  6.5  7.8  0.82  4.55  4.04 999 9999.0   0.8   6.4 999.0 99.0 99.00
2011 01 07 22 50  46  6.4  8.9  0.80  4.76  3.63 999 9999.0   0.5   6.4 999.0 99.0 99.00
2011 01 07 23 50  28  7.2  8.7  0.87  4.17  3.65 999 9999.0   0.5   6.4 999.0 99.0 99.00
2011 01 08 00 50  27  6.8  9.1  0.81  4.35  3.65 999 9999.0   0.4   6.4 999.0 99.0 99.00
2011 01 08 01 50  21  5.5  7.1  0.91  4.17  3.76 999 9999.0   0.2   6.6 999.0 99.0 99.00
2011 01 08 02 50  28  6.6  8.2  1.05  4.76  4.01 999 9999.0   0.4   6.6 999.0 99.0 99.00
2011 01 08 03 50   6  5.6  7.0  1.04  5.26  4.15 999 9999.0   0.5   6.6 999.0 99.0 99.00
2011 01 08 04 50   2  6.5  8.0  1.14  5.00  4.19 999 9999.0   0.6   6.6 999.0 99.0 99.00
2011 01 08 05 50 346  6.1  7.7  1.08  5.00  4.02 999 9999.0   0.6   6.6 999.0 99.0 99.00
2011 01 08 06 50 336  5.5  6.9  0.98  5.00  4.03 999 9999.0   0.1   6.6 999.0 99.0 99.00
2011 01 08 07 50 336  4.5  6.2  0.91  4.76  4.09 999 9999.0   0.1   6.7 999.0 99.0 99.00
2011 01 08 08 50 339  5.5  7.6  0.83  4.55  4.26 999 9999.0   0.6   6.7 999.0 99.0 99.00
2011 01 08 09 50 327  4.7  6.0  0.83  5.26  4.25 999 9999.0   0.5   6.6 999.0 99.0 99.00
2011 01 08 10 50 327  4.9  5.9  0.85  5.26  4.18 999 9999.0   0.9   6.7 999.0 99.0 99.00
2011 01 08 11 50 308  5.0  6.4  0.91  5.26  4.68 999 9999.0   0.8   6.6 999.0 99.0 99.00
2011 01 08 12 50 341  4.4  5.4  0.90 11.11  4.88 999 9999.0   1.2   6.6 999.0 99.0 99.00
2011 01 08 13 50 352  5.3  6.4  0.97 11.11  4.93 999 9999.0   1.6   6.7 999.0 99.0 99.00
2011 01 08 14 50 358  3.8  4.7  1.13 10.00  5.80 999 9999.0   2.2   6.6 999.0 99.0 99.00
2011 01 08 15 50 352  3.1  3.9  1.11 10.00  5.73 999 9999.0   3.2   6.7 999.0 99.0 99.00
2011 01 08 16 50   2  4.1  5.7  1.21 11.11  5.83 999 9999.0   3.9   7.0 999.0 99.0 99.00
2011 01 08 17 50  22  3.7  4.8  1.49 11.11  6.35 999 9999.0   4.4   6.7 999.0 99.0 99.00
2011 01 08 18 50   7  3.4  4.2  1.48 10.00  6.97 999 9999.0   4.0   6.6 999.0 99.0 99.00
2011 01 08 19 50  22  4.1  5.1  1.39 10.00  6.97 999 9999.0   2.4   6.6 999.0 99.0 99.00
2011 01 08 20 50  25  5.9  7.0  1.67 10.00  7.85 999 9999.0   2.1   6.6 999.0 99.0 99.00
