"","FIPS","County","Pop_Total","Pop_Urban","Pop_Rural","Pop_Rural_Farm","Pop_Rural_Nonfarm","Type","Pop_Male","Male_00_09","Male_10_19","Male_20_29","Male_30_39","Male_40_49","Male_50_59","Male_60_69","Male_70_79","Male_80_up","Pop_Female","Female_00_09","Female_10_19","Female_20_29","Female_30_39","Female_40_49","Female_50_59","Female_60_69","Female_70_79","Female_80_up","Male_Degree","Female_Degree","Pop_degree","Median_household_income","Total_median_earnings","Male_median_earnings","Female_median_earnings","Total_aggregate_earnings","Male_aggregate_earnings","Female_aggregate_earnings"
"309",230050048024,"Cumberland",1400,1400,NA,NA,NA,"Urban",678,49,61,114,167,121,84,55,8,19,722,64,89,47,159,114,133,61,20,35,0.158634538,0.180478821,0.170028818,43750,22778,26786,20152,23521100,13862600,9658400
"310",230050048031,"Cumberland",1315,341,974,42,932,"Rural",657,97,118,102,115,84,62,55,16,8,658,89,55,86,115,107,118,42,16,30,0.22997416,0.352201258,0.297453704,50962,22803,30673,19605,23013200,13863000,9150200
"311",230050048032,"Cumberland",2496,1283,1213,32,1181,"Urban",1508,146,129,302,386,271,126,83,47,18,988,152,97,115,187,210,91,65,30,41,0.16007533,0.222882615,0.18443804,41607,19802,20946,16250,37172500,26241200,10931300
"312",230050048033,"Cumberland",1097,817,280,NA,280,"Urban",547,55,120,36,78,97,81,34,26,20,550,86,69,37,91,108,82,26,31,20,0.249307479,0.211382114,0.230136986,56818,30767,44453,16500,21469500,14714100,6755400
"313",230050100001,"Cumberland",1859,NA,1859,33,1826,"Rural",982,154,113,116,142,173,123,114,32,15,877,103,64,71,170,188,144,83,41,13,0.390134529,0.449487555,0.420118343,38355,23165,30856,16899,41039600,29802800,11236800
"314",230050100002,"Cumberland",1104,NA,1104,22,1082,"Rural",467,43,50,40,33,66,95,73,32,35,637,69,93,35,51,129,108,85,28,39,0.407185629,0.411637931,0.409774436,37870,22760,30685,20463,36701300,28735000,7966400
"315",230050100003,"Cumberland",581,NA,581,NA,581,"Rural",315,16,57,18,26,66,64,28,17,23,266,7,34,19,13,30,69,28,59,7,0.526785714,0.490291262,0.509302326,42150,14773,16389,10000,7845700,5205900,2639700
"316",230050100006,"Cumberland",1193,NA,1193,NA,1193,"Rural",550,44,24,50,51,106,55,108,54,58,643,46,43,53,67,69,109,85,128,43,0.314732143,0.47689464,0.403437816,43147,22264,25764,16571,17459100,10212300,7246800
"317",230050100007,"Cumberland",502,NA,502,NA,502,"Rural",237,25,37,0,23,47,39,38,28,0,265,20,57,0,38,51,37,42,11,9,0.394285714,0.409574468,0.402203857,45139,25526,29875,17750,7239400,4694900,2544500
"318",230050111001,"Cumberland",2173,2173,NA,NA,NA,"Urban",1105,149,153,181,200,158,97,110,44,13,1068,174,84,152,117,212,127,121,72,9,0.111731844,0.067460317,0.088994565,33152,21039,25563,15550,33058800,17587000,15471800
"319",230050111002,"Cumberland",845,259,586,5,581,"Rural",378,41,64,10,60,90,57,37,12,7,467,83,79,15,58,92,67,36,29,8,0.534798535,0.363636364,0.445614035,59655,25313,33021,15750,19725400,13247100,6478300
"320",230050111003,"Cumberland",725,725,NA,NA,NA,"Urban",343,102,44,19,51,40,21,22,44,0,382,59,63,30,70,38,45,41,27,9,0.390862944,0.410569106,0.401805869,47266,26143,41932,12330,9168100,5997100,3171000
"321",230050111004,"Cumberland",1467,1467,NA,NA,NA,"Urban",799,153,88,315,174,69,0,0,0,0,668,124,113,257,129,34,11,0,0,0,0.254742547,0.308219178,0.278366112,35000,18643,20026,16333,20193700,13612500,6581300
"322",230050112011,"Cumberland",891,331,560,NA,560,"Rural",404,66,55,23,63,41,74,33,33,16,487,40,40,90,64,52,77,67,41,16,0.269230769,0.326470588,0.301666667,40625,23929,28125,21250,12074000,5780900,6293100
"323",230050112012,"Cumberland",657,657,NA,NA,NA,"Urban",284,14,46,21,51,42,36,16,13,45,373,48,35,19,52,69,46,18,42,44,0.330049261,0.344827586,0.338742394,45417,22179,29432,20667,10576000,6456100,4120000
"324",230050112013,"Cumberland",1998,1998,NA,NA,NA,"Urban",940,194,130,53,202,87,47,72,73,82,1058,189,116,78,155,79,86,61,111,183,0.434210526,0.386394558,0.408041698,47425,26706,35614,15739,20035000,14405000,5630000
"325",230050112014,"Cumberland",617,617,NA,NA,NA,"Urban",307,12,33,29,26,79,57,25,38,8,310,20,50,12,20,35,50,70,44,9,0.27016129,0.220833333,0.245901639,32071,24079,26806,20132,11239900,7148100,4091800
"326",230050112015,"Cumberland",1053,104,949,NA,949,"Rural",498,43,79,47,35,109,96,48,34,7,555,39,50,23,39,191,67,64,56,26,0.558073654,0.433408578,0.488693467,47321,26008,29963,16333,20344700,13366400,6978300
"327",230050112016,"Cumberland",1886,1886,NA,NA,NA,"Urban",953,116,212,139,55,162,80,84,86,19,933,69,160,124,75,169,80,76,128,52,0.749502982,0.487309645,0.60786106,73906,20561,29250,13250,30020600,20844400,9176200
"328",230050112021,"Cumberland",1855,1855,NA,NA,NA,"Urban",924,139,149,189,126,59,112,67,46,37,931,101,123,174,62,136,89,123,51,72,0.472340426,0.353140917,0.406043437,43864,14741,20769,12125,27433100,17821300,9611800
"329",230050112022,"Cumberland",1733,1733,NA,NA,NA,"Urban",811,18,257,274,100,47,37,36,31,11,922,43,333,228,102,53,50,60,11,42,0.31986532,0.262711864,0.288786482,41029,4954,6250,4419,15970000,8946200,7023800
"330",230050112023,"Cumberland",1273,1273,NA,NA,NA,"Urban",589,47,121,27,64,131,48,65,67,19,684,24,138,16,92,136,33,94,106,45,0.415233415,0.252446184,0.324618736,29018,16500,30833,11346,19265100,12943700,6321500
"331",230050112024,"Cumberland",924,924,NA,NA,NA,"Urban",406,44,24,122,89,58,0,8,52,9,518,16,49,111,51,20,61,28,111,71,0.327067669,0.255208333,0.284615385,19107,19826,22143,12188,10790500,6839700,3950800
"332",230050112025,"Cumberland",1110,1110,NA,NA,NA,"Urban",576,65,26,148,93,90,71,25,18,40,534,73,42,85,71,83,43,22,43,72,0.313624679,0.285333333,0.29973822,27457,22234,25174,19286,16277200,10982000,5295200
